time,ir
10878,112741
10899,112756
10918,112753
10939,112759
10958,112746
10979,112772
10999,112783
11019,112777
11040,112790
11060,112781
11080,112788
11100,112794
11120,112790
11141,112782
11160,112764
11181,112734
11200,112742
11220,112739
11240,112721
11260,112724
11282,112727
11301,112733
11322,112717
11341,112735
11362,112716
11381,112741
11402,112742
11421,112730
11442,112740
11461,112730
11482,112721
11501,112734
11523,112755
11543,112744
11563,112726
11583,112742
11602,112747
11623,112754
11642,112767
11663,112748
11682,112761
11703,112761
11722,112760
11743,112781
11764,112756
11784,112723
11804,112700
11824,112693
11844,112695
11864,112673
11884,112671
11905,112665
11924,112687
11944,112687
11964,112695
11984,112700
12006,112704
12025,112709
12046,112696
12065,112698
12086,112708
12105,112713
12126,112735
12145,112725
12166,112736
12185,112754
12206,112760
12225,112770
12246,112789
12267,112788
12286,112789
12307,112766
12326,112799
12347,112808
12366,112782
12387,112755
12406,112744
12427,112747
12446,112743
12467,112720
12487,112739
12508,112728
12528,112731
12548,112739
12568,112757
12589,112760
12608,112740
12628,112753
12648,112751
12668,112754
12688,112749
12708,112764
12728,112756
12748,112780
12770,112790
12789,112796
12810,112786
12829,112795
12850,112812
12869,112820
12890,112824
12909,112830
12930,112826
12949,112824
12969,112822
12989,112802
13010,112780
13031,112781
13050,112778
13071,112762
13090,112797
13111,112802
13130,112795
13151,112784
13170,112789
13191,112792
13210,112790
13231,112817
13252,112797
13272,112817
13292,112787
13312,112806
13332,112819
13351,112831
13372,112821
13392,112820
13412,112850
13432,112843
13452,112838
13472,112850
13494,112849
13513,112862
13534,112856
13553,112864
13574,112858
13593,112827
13614,112838
13633,112828
13654,112815
13673,112791
13693,112811
13713,112797
13734,112808
13755,112792
13774,112817
13795,112797
13814,112806
13835,112803
13854,112820
13875,112789
13894,112827
13915,112803
13934,112805
13955,112819
13976,112815
13996,112808
14016,112811
14035,112820
14056,112815
14075,112830
14096,112830
14116,112814
14136,112819
14156,112803
14176,112800
14196,112780
14217,112774
14237,112755
14258,112764
14277,112737
14298,112760
14317,112741
14338,112763
14357,112750
14377,112764
14397,112755
14417,112771
14437,112758
14457,112754
14479,112747
14498,112753
14519,112748
14538,112730
14559,112747
14578,112764
14599,112754
14618,112776
14639,112759
14658,112784
14679,112765
14698,112770
14720,112759
14740,112757
14759,112754
14780,112730
14799,112723
14820,112700
14839,112711
14860,112697
14880,112713
14900,112704
14920,112707
14940,112717
14961,112729
14981,112725
15001,112774
15022,112786
15041,112806
